Experiment number,Condition,Time needed (sec),Distance Travelled
1,A,226.32,258474
2,A,702.12,808510
3,A,364.05,416555
4,A,573.86,656378
5,A,711.84,816902
1,B,152.93,156283
2,B,90.33,93007
3,B,85.81,88942
4,B,112.98,114570
5,B,75.33,76019
